$ /home/nicolas/anaconda3/envs/testenv/bin/python /home/nicolas/Documents/OptML_project/create_success_graphs.py
[2020-05-24 14:14:13] [ INFO ] : Removing old files.. 
[2020-05-24 16:36:16] [ INFO ] : Benchmarking with 255 particles 
[2020-05-24 16:37:16] [ INFO ] : Benchmarking with 256 particles 
[2020-05-24 16:38:09] [ INFO ] : Benchmarking with 257 particles 
[2020-05-24 16:39:07] [ INFO ] : Benchmarking with 258 particles 
[2020-05-24 16:40:08] [ INFO ] : Benchmarking with 259 particles 
[2020-05-24 16:41:09] [ INFO ] : Benchmarking with 260 particles 
[2020-05-24 16:42:11] [ INFO ] : Benchmarking with 261 particles 
[2020-05-24 16:43:08] [ INFO ] : Benchmarking with 262 particles 
[2020-05-24 16:44:20] [ INFO ] : Benchmarking with 263 particles 
[2020-05-24 16:45:21] [ INFO ] : Benchmarking with 264 particles 
[2020-05-24 16:46:21] [ INFO ] : Benchmarking with 265 particles 
[2020-05-24 16:47:23] [ INFO ] : Benchmarking with 266 particles 
[2020-05-24 16:48:28] [ INFO ] : Benchmarking with 267 particles 
[2020-05-24 16:49:31] [ INFO ] : Benchmarking with 268 particles 
[2020-05-24 16:50:32] [ INFO ] : Benchmarking with 269 particles 
[2020-05-24 16:51:35] [ INFO ] : Benchmarking with 270 particles 
[2020-05-24 16:52:32] [ INFO ] : Benchmarking with 271 particles 
[2020-05-24 16:53:39] [ INFO ] : Benchmarking with 272 particles 
[2020-05-24 16:54:51] [ INFO ] : Benchmarking with 273 particles 
[2020-05-24 16:55:54] [ INFO ] : Benchmarking with 274 particles 
[2020-05-24 16:57:06] [ INFO ] : Benchmarking with 275 particles 
[2020-05-24 16:58:12] [ INFO ] : Benchmarking with 276 particles 
[2020-05-24 16:59:10] [ INFO ] : Benchmarking with 277 particles 
[2020-05-24 17:00:12] [ INFO ] : Benchmarking with 278 particles 
[2020-05-24 17:01:02] [ INFO ] : Benchmarking with 279 particles 
[2020-05-24 17:02:04] [ INFO ] : Benchmarking with 280 particles 
[2020-05-24 17:03:11] [ INFO ] : Benchmarking with 281 particles 
[2020-05-24 17:04:10] [ INFO ] : Benchmarking with 282 particles 
[2020-05-24 17:05:12] [ INFO ] : Benchmarking with 283 particles 
[2020-05-24 17:06:13] [ INFO ] : Benchmarking with 284 particles 
[2020-05-24 17:07:05] [ INFO ] : Benchmarking with 285 particles 
[2020-05-24 17:08:08] [ INFO ] : Benchmarking with 286 particles 
[2020-05-24 17:09:07] [ INFO ] : Benchmarking with 287 particles 
[2020-05-24 17:10:15] [ INFO ] : Benchmarking with 288 particles 
[2020-05-24 17:11:14] [ INFO ] : Benchmarking with 289 particles 
[2020-05-24 17:12:34] [ INFO ] : Benchmarking with 290 particles 
[2020-05-24 17:13:26] [ INFO ] : Benchmarking with 291 particles 
[2020-05-24 17:14:24] [ INFO ] : Benchmarking with 292 particles 
[2020-05-24 17:15:24] [ INFO ] : Benchmarking with 293 particles 
[2020-05-24 17:16:28] [ INFO ] : Benchmarking with 294 particles 
[2020-05-24 17:18:25] [ INFO ] : Benchmarking with 295 particles 
[2020-05-24 17:19:24] [ INFO ] : Benchmarking with 296 particles 
[2020-05-24 17:20:25] [ INFO ] : Benchmarking with 297 particles 
[2020-05-24 17:21:25] [ INFO ] : Benchmarking with 298 particles 
[2020-05-24 17:22:26] [ INFO ] : Benchmarking with 299 particles 
[2020-05-24 17:23:25] [ INFO ] : batch PSO success rates (10-300 particles): [0.74, 0.75, 0.78, 0.76, 0.81, 0.78, 0.83, 0.81, 0.83, 0.8, 0.82, 0.82, 0.85, 0.85, 0.82, 0.87, 0.87, 0.8, 0.84, 0.83, 0.84, 0.85, 0.85, 0.9, 0.86, 0.85, 0.85, 0.87, 0.85, 0.84, 0.83, 0.91, 0.87, 0.85, 0.88, 0.89, 0.89, 0.89, 0.9, 0.87, 0.88, 0.88, 0.86, 0.88, 0.89, 0.83, 0.89, 0.88, 0.92, 0.91, 0.89, 0.89, 0.9, 0.88, 0.91, 0.88, 0.92, 0.91, 0.92, 0.89, 0.89, 0.89, 0.88, 0.9, 0.94, 0.87, 0.89, 0.92, 0.87, 0.92, 0.9, 0.87, 0.92, 0.9, 0.92, 0.92, 0.89, 0.92, 0.9, 0.9, 0.92, 0.88, 0.9, 0.89, 0.88, 0.93, 0.89, 0.93, 0.92, 0.9, 0.9, 0.91, 0.91, 0.88, 0.93, 0.91, 0.92, 0.93, 0.9, 0.89, 0.91, 0.92, 0.91, 0.9, 0.9, 0.89, 0.92, 0.89, 0.89, 0.92, 0.91, 0.89, 0.89, 0.9, 0.93, 0.93, 0.9, 0.89, 0.88, 0.91, 0.93, 0.93, 0.89, 0.92, 0.92, 0.92, 0.91, 0.89, 0.93, 0.9, 0.9, 0.89, 0.92, 0.93, 0.89, 0.89, 0.92, 0.9, 0.92, 0.89, 0.95, 0.94, 0.89, 0.94, 0.92, 0.9, 0.91, 0.92, 0.92, 0.9, 0.95, 0.95, 0.91, 0.91, 0.93, 0.91, 0.89, 0.95, 0.94, 0.9, 0.92, 0.92, 0.88, 0.91, 0.89, 0.91, 0.89, 0.9, 0.92, 0.91, 0.9, 0.91, 0.91, 0.91, 0.91, 0.91, 0.94, 0.91, 0.9, 0.92, 0.92, 0.88, 0.93, 0.94, 0.92, 0.91, 0.93, 0.92, 0.93, 0.89, 0.9, 0.88, 0.91, 0.92, 0.95, 0.9, 0.93, 0.92, 0.92, 0.91, 0.94, 0.93, 0.91, 0.91, 0.93, 0.89, 0.92, 0.92, 0.93, 0.91, 0.91, 0.93, 0.93, 0.92, 0.92, 0.95, 0.93, 0.93, 0.91, 0.93, 0.9, 0.88, 0.92, 0.93, 0.93, 0.93, 0.94, 0.92, 0.94, 0.87, 0.9, 0.88, 0.93, 0.92, 0.91, 0.89, 0.92, 0.91, 0.91, 0.89, 0.92, 0.95, 0.93, 0.91, 0.95, 0.92, 0.94, 0.92, 0.92, 0.91, 0.92, 0.93, 0.87, 0.9, 0.92, 0.91, 0.9, 0.9, 0.91, 0.92, 0.93, 0.91, 0.88, 0.92, 0.89, 0.91, 0.93, 0.92, 0.96, 0.94, 0.92, 0.94, 0.91, 0.93, 0.95, 0.91, 0.93, 0.9, 0.92, 0.91, 0.95, 0.93, 0.94, 0.92, 0.9, 0.94, 0.92, 0.93, 0.93, 0.93] 
[2020-05-24 17:23:26] [ WARNING ] : No handles with labels found to put in legend. 
